track,artist,composer,album,year
night of the end,instrumental,kohta yamamoto,attack on titan: the final season - vol 2,2022
in the sea,instrumental,kensuke ushio,chainsaw man: reze arc,2025
oorum blood,sai abhayankkar,sai abhayankkar,dude,2025
the less i know the better,tame impala,tame impala,currents,2015
solo,instrumental,river,solo,2018
the rise of ojas gambheera,instrumental,thaman s,they call him og,2025
trouble in town,instrumental,lorne balfe,assassin's creed iii,2012
golden brown,the stranglers,the stranglers,golden brown,1982
the last waltz,instrumental,cho young-wuk,oldboy,2003
this is what winter feels like,jvke,jvke,this is what winter feels like,2024
cinnamon girl,lana del rey,lana del rey,norman fucking rockwell,2019
powerhouse,anirudh ravichander,anirudh ravichander,coolie,2025
smokestack twins,instrumental,ludwig goransson,sinners,2025
drive,ed sheeran,ed sheeran,f1,2025
music to watch boys to,lana del rey,lana del rey,honeymoon,2015
i ain't worried,onerepublic,onerepublic,top gun: maverick,2022
run it up,hanumankind,hanumankind,run it up,2025
is my heart like spring?,kim ji-ae,kim ji-ae,when life gives you tangerines,2025
washing machine heart,mitski,mitski,be the cowboy,2018
again to goshintai,radwimps,radwimps,your name,2016
the paradise theme ost,anirudh ravichander,anirudh ravichander,the paradise,2026
reviver,sennarin,hiroyuki sawano,solo leveling : arise from the shadow,2025
abki baar arjun sarkaar,anurag kulkarni,mickey j meyer,hit: the third case,2025
manu and priya's dream,instrumental,charanraj mr,sapta sagaradaache ello (side a),2023
blue,yung kai,yung kai,blue,2024
the rumbling,sim,sim,the rumbling,2022
i walk this all earth by myself,ekkstacy,ekkstacy,negative,2021
outro,instrumental,sushin shyam,aavesham,2024
nebulakal,pradeep kumar,sushin shyam,manjummel boys,2024
kun faya kun,mohit chauhan,a r rahman,rockstar,2011
resonance,home,home,odyssey,2014
mawaa enthaina,sri krishna,thaman s,guntur kaaram ,2024
chase,instrumental,sushin shyam,malik,2021
we don't talk anymore,selena gomez,charlie puth,nine track mind,2016
maiyya mainu,sachet tandon,sachet tandon,jersey,2023
i'm scared,anirudh ravichander,anirudh ravichander,leo,2023
hua main,raghav chaitanya,pritam,animal,2023
our own planetarium,instrumental,yuki hayashi,insomniacs after school,2023
suzume's departure,instrumental,radwimps,suzume,2023
calling,swae lee,metro boomin,spider-man: across the spider-verse,2023
beat it,michael jackson,michael jackson,thriller,1983
the night we met,lord huron,lord huron,strange trails,2015
pluto projector,rex orange country,rex orange country,pony,2019
gangsta's paradise,coolio,coolio,gangsta's paradise,1995
i was never there,the weeknd,the weeknd,my dear melancholy,2018
no woman no cry,tems,tems,black panther: wakanda forever,2022
blood upon the snow,hozier,bear mccreary,god of war: ragnarok,2022
rait zara si,arijit singh,a r rahman,atrangi re,2021
yaarum illa,anthony daasan,yuvan shankar raja,naane varuvean,2022
unna nenachadum,sarthak kalyani,a r rahman,vendhu thanindhathu kaadu,2022
